ticker,model,fold,test_start,test_end,mae,rmse,r2,mae_base,rmse_base
BAC,XGBRegressor,1,2019-05-24,2020-08-20,1.3651631166980525,1.854556996942567,0.8124885610131778,0.5194904910531012,0.7667077033801907
BAC,XGBRegressor,2,2020-08-21,2021-11-17,4.03243585452912,5.487445564666796,0.42094739342782406,0.47503200458113537,0.6147042488490684
BAC,XGBRegressor,3,2021-11-18,2023-02-17,0.7810594595161973,1.0312254650566717,0.9612535547345806,0.5512738197472444,0.7313572479120412
BAC,XGBRegressor,4,2023-02-21,2024-05-20,0.4437048905973981,0.5781334618660765,0.9736441829054614,0.37003183061150235,0.4968489345846365
BAC,XGBRegressor,5,2024-05-21,2025-08-21,0.5901013392551689,0.8189446847398711,0.9398112033405004,0.4867197632030317,0.7202342225985751
BAC,MLPRegressor,1,2019-05-24,2020-08-20,12.816700014131015,17.673328549072203,-16.028802101690804,0.5194904910531012,0.7667077033801907
BAC,MLPRegressor,2,2020-08-21,2021-11-17,4.23547529181409,5.728367198258142,0.36898560137199987,0.47503200458113537,0.6147042488490684
BAC,MLPRegressor,3,2021-11-18,2023-02-17,2.215584545421243,2.818170390782683,0.7106262699460538,0.5512738197472444,0.7313572479120412
BAC,MLPRegressor,4,2023-02-21,2024-05-20,1.4441021776380516,1.8524229891169568,0.7294169450789565,0.37003183061150235,0.4968489345846365
BAC,MLPRegressor,5,2024-05-21,2025-08-21,1.192678598013045,1.6720317344366125,0.7491029497489505,0.4867197632030317,0.7202342225985751
BAC,SVR,1,2019-05-24,2020-08-20,2.7088181702452756,3.5363877488860216,0.3181840589647891,0.5194904910531012,0.7667077033801907
BAC,SVR,2,2020-08-21,2021-11-17,7.441267171432754,10.06833051764272,-0.9493620119483346,0.47503200458113537,0.6147042488490684
BAC,SVR,3,2021-11-18,2023-02-17,2.4224065301085935,3.6409987537975637,0.5169793837416559,0.5512738197472444,0.7313572479120412
BAC,SVR,4,2023-02-21,2024-05-20,0.5141330654759766,0.6520986075954277,0.9664689759374859,0.37003183061150235,0.4968489345846365
BAC,SVR,5,2024-05-21,2025-08-21,1.691792907567466,2.571993142924269,0.4063285876379231,0.4867197632030317,0.7202342225985751
