ticker,model,fold,test_start,test_end,accuracy,precision_macro,recall_macro,f1_macro
BAC,XGBClassifier,1,2019-05-24,2020-08-20,0.35668789808917195,0.3639092791266704,0.35593073593073593,0.35355315146586497
BAC,XGBClassifier,2,2020-08-21,2021-11-17,0.37261146496815284,0.38612855161959886,0.3956956042543844,0.3726273741536508
BAC,XGBClassifier,3,2021-11-18,2023-02-17,0.32802547770700635,0.31838805537435677,0.3210847621851007,0.31445466078149736
BAC,XGBClassifier,4,2023-02-21,2024-05-20,0.3343949044585987,0.3274754121091226,0.3281094159151063,0.32605201751524554
BAC,XGBClassifier,5,2024-05-21,2025-08-21,0.34394904458598724,0.35268497283001715,0.34377548135190344,0.3374294317684485
BAC,MLPClassifier,1,2019-05-24,2020-08-20,0.3853503184713376,0.34163283570420383,0.3526341991341992,0.3371352763939362
BAC,MLPClassifier,2,2020-08-21,2021-11-17,0.3057324840764331,0.3273613936264539,0.3303703183191624,0.3041771094402674
BAC,MLPClassifier,3,2021-11-18,2023-02-17,0.3535031847133758,0.3370820668693009,0.33528405327838695,0.3345523037386302
BAC,MLPClassifier,4,2023-02-21,2024-05-20,0.34394904458598724,0.34208492453173306,0.3356329495353189,0.3149859343249796
BAC,MLPClassifier,5,2024-05-21,2025-08-21,0.3375796178343949,0.36733405483405485,0.3303028489837963,0.29770819151350125
BAC,SVC,1,2019-05-24,2020-08-20,0.42356687898089174,0.41436014327580595,0.41757142857142854,0.40841568349348206
BAC,SVC,2,2020-08-21,2021-11-17,0.34394904458598724,0.32273457024087954,0.32493427304051997,0.3153505049498272
BAC,SVC,3,2021-11-18,2023-02-17,0.321656050955414,0.3509473684210526,0.3177266539112517,0.2550180147388522
BAC,SVC,4,2023-02-21,2024-05-20,0.37898089171974525,0.37417188337381263,0.36591387276514314,0.3473330471338472
BAC,SVC,5,2024-05-21,2025-08-21,0.3503184713375796,0.349915780141844,0.3517118775510683,0.3209125937044383
BAC,GaussianNB,1,2019-05-24,2020-08-20,0.4426751592356688,0.4288107337796778,0.44864718614718613,0.42246703396403995
BAC,GaussianNB,2,2020-08-21,2021-11-17,0.2929936305732484,0.3297927953616577,0.32017401422221886,0.29264343742319765
BAC,GaussianNB,3,2021-11-18,2023-02-17,0.3662420382165605,0.3855670221304896,0.40192557705987686,0.3572853883610856
BAC,GaussianNB,4,2023-02-21,2024-05-20,0.3057324840764331,0.31944789990767003,0.3283235181132222,0.2585013805856791
BAC,GaussianNB,5,2024-05-21,2025-08-21,0.28662420382165604,0.25524402907580473,0.30488631870652405,0.23154349832351884
NKE,XGBClassifier,1,2019-05-24,2020-08-20,0.3343949044585987,0.3357961053837342,0.3339071465832029,0.3288177339901478
NKE,XGBClassifier,2,2020-08-21,2021-11-17,0.31528662420382164,0.32413482040347713,0.31965764641431055,0.3096304827317588
NKE,XGBClassifier,3,2021-11-18,2023-02-17,0.4426751592356688,0.39956301309471326,0.40100357731936676,0.38188294511467635
NKE,XGBClassifier,4,2023-02-21,2024-05-20,0.37261146496815284,0.32757291272899197,0.3578158756339363,0.323184938162601
NKE,XGBClassifier,5,2024-05-21,2025-08-21,0.34394904458598724,0.3101281645126322,0.3265918613802517,0.30052004675282146
NKE,MLPClassifier,1,2019-05-24,2020-08-20,0.3248407643312102,0.4494037230948226,0.3923926273691532,0.2834665766085753
NKE,MLPClassifier,2,2020-08-21,2021-11-17,0.3821656050955414,0.2671830484330484,0.35374271627073056,0.23993490555252947
NKE,MLPClassifier,3,2021-11-18,2023-02-17,0.3503184713375796,0.3246109989822146,0.3234442944969261,0.32115866574952817
