Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2018-01-02 00:00:00-05:00,91.91999816894531,91.93000030517578,90.55000305175781,90.6500015258789,73.85491180419922,7558900,0.0,0.0
2018-01-03 00:00:00-05:00,90.7300033569336,91.08999633789062,90.5199966430664,90.54000091552734,73.76529693603516,5863600,0.0,0.0
2018-01-04 00:00:00-05:00,90.83000183105469,91.7699966430664,90.61000061035156,91.18000030517578,74.2867431640625,6322500,0.0,0.0
2018-01-05 00:00:00-05:00,91.2699966430664,91.30000305175781,90.56999969482422,91.23999786376953,74.33560943603516,5949700,0.0,0.0
2018-01-08 00:00:00-05:00,90.93000030517578,91.7699966430664,90.93000030517578,91.72000122070312,74.72666931152344,4860700,0.0,0.0
2018-01-09 00:00:00-05:00,91.47000122070312,91.6500015258789,91.01000213623047,91.05000305175781,74.1808090209961,6630100,0.0,0.0
2018-01-10 00:00:00-05:00,90.91000366210938,90.91000366210938,90.01000213623047,90.47000122070312,73.708251953125,6564700,0.0,0.0
2018-01-11 00:00:00-05:00,90.4000015258789,90.5199966430664,89.91999816894531,90.1500015258789,73.44754791259766,5469700,0.0,0.0
2018-01-12 00:00:00-05:00,90.05000305175781,90.33999633789062,89.3499984741211,89.61000061035156,73.0075912475586,8111000,0.0,0.0
2018-01-16 00:00:00-05:00,90.13999938964844,90.7699966430664,89.63999938964844,90.22000122070312,73.50460052490234,9465300,0.0,0.0
2018-01-17 00:00:00-05:00,90.55999755859375,91.7300033569336,90.43000030517578,91.19999694824219,74.30302429199219,8345500,0.0,0.0
2018-01-18 00:00:00-05:00,90.23999786376953,90.6500015258789,89.66999816894531,90.18000030517578,74.0321273803711,7699800,0.69,0.0
2018-01-19 00:00:00-05:00,90.27999877929688,91.26000213623047,90.23999786376953,91.06999969482422,74.76274871826172,9364000,0.0,0.0
2018-01-22 00:00:00-05:00,90.87999725341797,91.91999816894531,90.7699966430664,91.88999938964844,75.43592071533203,8658000,0.0,0.0
2018-01-23 00:00:00-05:00,89.81999969482422,90.20999908447266,88.5999984741211,89.05000305175781,73.10443878173828,18756300,0.0,0.0
2018-01-24 00:00:00-05:00,89.05999755859375,89.16000366210938,87.69999694824219,88.30999755859375,72.49696350097656,15141900,0.0,0.0
2018-01-25 00:00:00-05:00,88.68000030517578,89.05000305175781,88.01000213623047,88.33999633789062,72.52156829833984,11264400,0.0,0.0
2018-01-26 00:00:00-05:00,88.16999816894531,88.16999816894531,87.2300033569336,87.7300033569336,72.02082061767578,11503100,0.0,0.0
2018-01-29 00:00:00-05:00,87.69000244140625,87.73999786376953,86.69000244140625,86.86000061035156,71.30658721923828,11685800,0.0,0.0
2018-01-30 00:00:00-05:00,86.81999969482422,87.44000244140625,86.62999725341797,86.94999694824219,71.3804702758789,9662900,0.0,0.0
2018-01-31 00:00:00-05:00,86.80999755859375,87.41000366210938,86.08000183105469,86.33999633789062,70.87969207763672,11798100,0.0,0.0
2018-02-01 00:00:00-05:00,86.1500015258789,86.5,85.55999755859375,85.8499984741211,70.47744750976562,8606300,0.0,0.0
2018-02-02 00:00:00-05:00,85.55999755859375,85.61000061035156,84.20999908447266,84.25,69.16394805908203,12846300,0.0,0.0
2018-02-05 00:00:00-05:00,83.98999786376953,84.37000274658203,80.0999984741211,81.05999755859375,66.545166015625,17462200,0.0,0.0
2018-02-06 00:00:00-05:00,80.52999877929688,82.44999694824219,80.12000274658203,82.37999725341797,67.6288070678711,19955500,0.0,0.0
2018-02-07 00:00:00-05:00,82.30000305175781,83.38999938964844,81.81999969482422,81.83999633789062,67.18550872802734,11851800,0.0,0.0
2018-02-08 00:00:00-05:00,82.02999877929688,82.22000122070312,80.1500015258789,80.22000122070312,65.8555679321289,14596100,0.0,0.0
2018-02-09 00:00:00-05:00,80.9800033569336,81.02999877929688,78.58999633789062,79.91999816894531,65.60929870605469,18838800,0.0,0.0
2018-02-12 00:00:00-05:00,80.61000061035156,81.66999816894531,80.58000183105469,81.33000183105469,66.76683044433594,10769000,0.0,0.0
2018-02-13 00:00:00-05:00,81.1500015258789,81.83000183105469,80.91000366210938,81.5,66.90637969970703,9278700,0.0,0.0
2018-02-14 00:00:00-05:00,81.05999755859375,81.26000213623047,80.2699966430664,80.68000030517578,66.23319244384766,9412000,0.0,0.0
2018-02-15 00:00:00-05:00,80.97000122070312,82.41000366210938,80.5,82.41000366210938,67.6534194946289,8910700,0.0,0.0
2018-02-16 00:00:00-05:00,82.20999908447266,83.25,82.12999725341797,82.5999984741211,67.80940246582031,10371700,0.0,0.0
2018-02-20 00:00:00-05:00,82.19000244140625,82.22000122070312,81.06999969482422,81.33999633789062,66.77501678466797,7087700,0.0,0.0
2018-02-21 00:00:00-05:00,81.30999755859375,81.80999755859375,80.19000244140625,80.23999786376953,65.87198638916016,9134500,0.0,0.0
